City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Butaritari,3.0707,172.7902,82.83,79,40,15.23,KI,1621130074
Ahipara,-35.1667,173.1667,67.15,68,2,10.65,NZ,1621130091
Rikitea,-23.1203,-134.9692,74.55,67,100,17.92,PF,1621130203
Yellowknife,62.456,-114.3525,39.07,65,75,12.66,CA,1621130203
Sesimbra,38.4445,-9.1015,63.72,77,75,6.91,PT,1621130204
Bluff,-46.6,168.3333,54.0,69,51,3.0,NZ,1621130204
Busdi,8.2761,125.2514,83.17,60,80,3.83,PH,1621130204
Verkhnevilyuysk,63.4453,120.3167,44.62,73,100,9.89,RU,1621130205
Bredasdorp,-34.5322,20.0403,51.8,87,96,6.91,ZA,1621130098
Carnarvon,-24.8667,113.6333,71.6,53,69,11.5,AU,1621130205
Ushuaia,-54.8,-68.3,42.8,70,20,7.0,AR,1621130206
Hilo,19.7297,-155.09,76.53,45,20,9.22,US,1621130120
Punta Arenas,-53.15,-70.9167,44.29,100,90,11.5,CL,1621130189
East London,-33.0153,27.9116,64.87,78,98,18.37,ZA,1621130207
Albany,42.6001,-73.9662,54.41,68,100,4.85,US,1621130017
Nikolskoye,59.7035,30.7861,53.78,88,75,6.71,RU,1621130208
Yenagoa,4.9247,6.2642,76.42,95,99,2.95,NG,1621130208
Norman Wells,65.282,-126.8329,50.0,50,20,17.27,CA,1621130167
Beloha,-25.1667,45.05,68.04,72,45,3.29,MG,1621130209
Jiuquan,39.7432,98.5174,65.48,22,80,5.55,CN,1621130209
Clyde River,70.4692,-68.5914,15.8,67,1,11.5,CA,1621130210
Aklavik,68.2191,-135.0107,50.0,46,100,5.75,CA,1621130006
Ruteng,-8.6136,120.4721,71.91,66,41,1.99,ID,1621130211
Zyryanka,65.75,150.85,45.14,59,19,12.37,RU,1621130211
Waipawa,-41.4122,175.5153,59.79,77,75,20.71,NZ,1621130212
Hasaki,35.7333,140.8333,72.25,73,75,13.8,JP,1621130213
Busselton,-33.65,115.3333,64.99,66,100,5.01,AU,1621130214
Zanjān,36.6736,48.4787,54.88,55,1,2.86,IR,1621130214
Atuona,-9.8,-139.0333,79.57,67,7,15.84,PF,1621130071
Port Alfred,-33.5906,26.891,62.87,82,95,16.49,ZA,1621130067
Coos Bay,43.3665,-124.2179,51.55,87,90,18.41,US,1621129994
Codrington,-38.2667,141.9667,56.35,73,92,18.48,AU,1621130216
Cotonou,6.3654,2.4183,81.66,81,92,7.7,BJ,1621130177
Saldanha,-33.0117,17.9442,53.6,87,0,16.22,ZA,1621130216
Chaman,30.9236,66.4512,72.07,15,14,6.55,PK,1621130217
Mataura,-46.1927,168.8643,54.0,69,6,3.0,NZ,1621130098
Tondano,1.3038,124.9112,87.8,62,20,3.44,ID,1621130217
Kapaa,22.0752,-159.319,76.93,61,40,19.57,US,1621130218
Jamestown,42.097,-79.2353,54.43,33,1,5.75,US,1621129921
Ullal,12.8,74.85,75.2,94,90,11.5,IN,1621130219
Hermanus,-34.4187,19.2345,53.01,82,100,1.99,ZA,1621130080
Pevek,69.7008,170.3133,30.22,91,75,0.65,RU,1621130197
Keti Bandar,24.1447,67.4497,83.28,73,100,11.01,PK,1621130219
Kahului,20.8947,-156.47,76.59,54,40,18.41,US,1621130049
Port Lincoln,-34.7333,135.8667,59.32,62,98,9.13,AU,1621130220
Haines Junction,60.7522,-137.5108,55.4,26,17,10.36,CA,1621130221
Dikson,73.5069,80.5464,24.6,74,100,15.7,RU,1621130221
Kumul,42.8,93.45,75.67,14,100,1.63,CN,1621130053
Lavaca,28.615,-96.6261,76.05,78,1,28.77,US,1621130222
Buraidah,26.326,43.975,84.2,20,0,6.91,SA,1621130223
Vaini,-21.2,-175.2,82.4,83,75,10.36,TO,1621130078
Otuzco,-7.9,-78.5833,64.4,88,70,6.91,PE,1621130223
Meulaboh,4.1363,96.1285,80.17,80,100,3.09,ID,1621130224
Iberia,29.9502,-91.7507,72.7,73,75,5.75,US,1621130224
Castro,-24.7911,-50.0119,50.63,93,0,3.4,BR,1621130225
Jalu,29.0331,21.5482,69.91,40,0,11.77,LY,1621130225
Porbandar,21.6422,69.6093,84.2,84,75,17.27,IN,1621130045
Saint-Pierre,-21.3393,55.4781,72.12,73,75,14.97,RE,1621130226
Scarborough,54.2797,-0.4044,46.62,91,100,1.01,GB,1621130227
Panalingaan,8.7842,117.4231,88.23,62,75,1.19,PH,1621130227
Provideniya,64.3833,-173.3,43.74,56,10,2.93,RU,1621130085
Wilmington,34.2257,-77.9447,59.2,55,1,4.16,US,1621129976
Ponta Delgada,37.7333,-25.6667,64.4,94,75,8.05,PT,1621130228
Saint George,37.1041,-113.5841,86.07,8,1,28.77,US,1621130202
Klaksvík,62.2266,-6.589,42.8,93,90,16.11,FO,1621130123
Anadyr,64.75,177.4833,42.8,65,0,4.47,RU,1621130229
Arraial do Cabo,-22.9661,-42.0278,69.62,78,3,8.61,BR,1621130229
Saskylakh,71.9167,114.0833,15.35,90,100,14.7,RU,1621130230
Volchikha,52.0333,80.3833,68.38,37,10,8.01,RU,1621130230
Nelson Bay,-32.7167,152.15,58.95,44,0,16.11,AU,1621130230
Faanui,-16.4833,-151.75,81.68,69,100,15.52,PF,1621130231
Geraldton,-28.7667,114.6,73.4,35,6,23.02,AU,1621130231
Huarmey,-10.0681,-78.1522,65.75,83,5,8.59,PE,1621130232
Tasiilaq,65.6145,-37.6368,28.4,69,17,3.18,GL,1621130074
Brønnøysund,65.4625,12.1997,50.0,76,90,8.05,NO,1621130233
Puerto Ayora,-0.7393,-90.3518,75.0,92,16,3.0,EC,1621130100
São Filipe,14.8961,-24.4956,73.98,68,66,11.41,CV,1621130005
Cabo San Lucas,22.8909,-109.9124,82.99,32,20,11.5,MX,1621130072
Edson,53.5835,-116.4356,66.2,32,1,13.8,CA,1621130234
Portland,45.5234,-122.6762,75.85,34,20,11.5,US,1621129976
San Juan,-31.5375,-68.5364,34.0,34,66,32.01,AR,1621130234
Kruisfontein,-34.0033,24.7314,57.99,94,100,3.0,ZA,1621130114
Narsaq,60.9167,-46.05,41.0,38,10,4.61,GL,1621130235
Vila Velha,-20.3297,-40.2925,68.54,94,40,2.3,BR,1621130142
Mossamedes,-15.1961,12.1522,73.09,61,0,4.76,AO,1621130235
Barrow,71.2906,-156.7887,28.4,80,90,11.5,US,1621130237
Cape Town,-33.9258,18.4232,53.2,87,0,8.05,ZA,1621130054
Richards Bay,-28.783,32.0377,66.02,36,0,5.23,ZA,1621130069
Khatanga,71.9667,102.5,19.22,88,99,10.56,RU,1621130238
Rudnogorsk,57.2639,103.7519,40.08,50,54,9.66,RU,1621130238
Hithadhoo,-0.6,73.0833,84.56,73,100,18.19,MV,1621130089
Xinqing,48.2333,129.5,66.11,24,8,12.26,CN,1621130239
Tigil',57.8,158.6667,53.91,41,100,5.32,RU,1621130239
Avera,33.194,-82.5271,60.19,72,1,4.05,US,1621130240
Tilichiki,60.4667,166.1,32.23,87,7,3.42,RU,1621130240
Acarí,-15.4311,-74.6158,68.52,74,14,2.39,PE,1621130241
Viytivka,48.426,29.5429,51.04,88,36,5.73,UA,1621130241
Krasnosel'kup,65.7,82.4667,24.87,65,18,5.26,RU,1621130242
Port Moresby,-9.4431,147.1797,86.0,70,40,5.75,PG,1621130242
Mvomero,-6.25,38.6667,78.8,89,40,9.22,TZ,1621130243
Las Palmas,28.4204,-14.0131,68.0,77,53,14.97,ES,1621130243
Paso de Carrasco,-34.8603,-56.0522,50.0,93,99,2.3,UY,1621130126
Mount Isa,-20.7333,139.5,71.6,23,0,14.97,AU,1621130244
Huntsville,34.7304,-86.5861,63.95,63,1,3.44,US,1621130244
Hetauda,27.4284,85.0322,68.0,73,40,3.51,NP,1621130244
Hebi,35.8992,114.1925,54.91,72,100,16.62,CN,1621130245
Avarua,-21.2078,-159.775,78.8,78,75,10.36,CK,1621130081
Oktyabr'skoye,43.0645,44.7417,57.09,82,33,2.24,RU,1621130246
Kaitangata,-46.2817,169.8464,57.0,51,1,5.59,NZ,1621130246
Porto-Novo,6.4965,2.6036,79.99,84,92,4.38,BJ,1621130247
Alta Floresta,-9.8756,-56.0861,70.5,74,100,2.86,BR,1621130247
Vestmannaeyjar,63.4427,-20.2734,39.81,60,77,3.87,IS,1621130247
Dali,25.7,100.1833,68.92,46,2,4.56,CN,1621130248
Khani,41.9563,42.9566,53.6,94,0,2.3,GE,1621130248
Chui,-33.6971,-53.4616,52.02,81,100,3.74,UY,1621130228
Bethel,41.3712,-73.414,63.64,32,1,10.36,US,1621130250
Thompson,55.7435,-97.8558,46.4,53,75,5.75,CA,1621130144
Naze,28.3667,129.4833,82.4,83,75,17.27,JP,1621130251
Faya,18.3851,42.4509,67.1,18,0,3.89,SA,1621130251
Palmer,42.1584,-72.3287,54.77,51,20,3.38,US,1621130218
Hobart,-42.8794,147.3294,56.26,54,40,18.41,AU,1621130046
Karratha,-20.7377,116.8463,77.38,30,0,19.3,AU,1621130252
Mar del Plata,-38.0023,-57.5575,55.24,87,0,4.61,AR,1621130253
Eilat,29.5581,34.9482,72.59,34,0,5.46,IL,1621130253
Puerto Madryn,-42.7692,-65.0385,55.2,45,99,6.78,AR,1621130224
Saint Paul Harbor,57.79,-152.4072,44.6,81,90,8.05,US,1621130225
Waingapu,-9.6567,120.2641,83.14,65,32,15.28,ID,1621130254
Hamilton,39.1834,-84.5333,62.33,59,20,3.4,US,1621130008
Tomigusuku,26.185,127.675,83.44,83,20,14.97,JP,1621130116
Cherskiy,68.75,161.3,37.26,82,31,8.1,RU,1621130255
Saint-Philippe,-21.3585,55.7679,71.87,73,75,14.97,RE,1621130256
Moengo,5.6167,-54.4,73.76,92,30,2.3,SR,1621130256
Talnakh,69.4865,88.3972,18.27,91,99,4.47,RU,1621130076
Tabas,33.5959,56.9244,72.82,21,48,2.71,IR,1621130257
Port Elizabeth,-33.918,25.5701,59.0,94,90,10.36,ZA,1621130258
George Town,5.4112,100.3354,84.67,84,20,1.14,MY,1621130258
Nuquí,5.7125,-77.2708,78.53,89,100,3.96,CO,1621130259
Xai-Xai,-25.0519,33.6442,65.28,51,0,9.33,MZ,1621130259
Fortuna,40.5982,-124.1573,53.29,93,75,12.66,US,1621130259
Qaanaaq,77.484,-69.3632,32.4,76,99,6.82,GL,1621130260
San Policarpo,12.1791,125.5072,84.02,80,28,10.67,PH,1621130261
Alyangula,-13.8483,136.4192,82.4,54,26,9.22,AU,1621130261
Brigantine,39.4101,-74.3646,56.66,38,1,3.44,US,1621130262
Freeport,40.6576,-73.5832,60.67,39,1,8.05,US,1621130242
Bambous Virieux,-20.3428,57.7575,74.62,78,20,10.36,MU,1621130175
Lerwick,60.1545,-1.1494,46.4,93,90,4.61,GB,1621130263
Pisco,-13.7,-76.2167,64.24,88,90,5.75,PE,1621130238
Río Gallegos,-51.6226,-69.2181,44.6,93,75,4.61,AR,1621130263
Iqaluit,63.7506,-68.5145,24.39,74,90,5.75,CA,1621130264
Njombe,-9.3333,34.7667,48.54,97,15,3.09,TZ,1621130264
Bacalar,18.6667,-88.3833,82.99,82,34,6.44,MX,1621130265
Voh,-20.9667,164.7,83.26,58,13,9.22,NC,1621130265
Ol'ga,43.7444,135.2892,63.68,47,100,3.29,RU,1621130266
Bubanza Province,-3.1167,29.4,66.04,94,21,2.59,BI,1621130267
Tādepallegūdem,16.8333,81.5,84.2,79,40,4.61,IN,1621130267
Ponta do Sol,32.6667,-17.1,61.75,68,20,20.71,PT,1621130233
Hong Kong,22.2855,114.1577,83.95,78,17,1.99,HK,1621130225
Cocachacra,-17.0883,-71.7575,65.03,86,2,2.98,PE,1621130268
Olafsvik,64.8945,-23.7142,36.77,69,16,21.94,IS,1621130268
Laredo,27.5064,-99.5075,84.2,51,1,14.97,US,1621130269
Esperance,-33.8667,121.9,57.2,72,22,14.97,AU,1621130139
Tuatapere,-46.1333,167.6833,54.0,69,45,3.0,NZ,1621130269
Quelimane,-17.8786,36.8883,66.22,96,26,4.81,MZ,1621130270
Arang,21.2,81.9667,84.2,70,6,8.05,IN,1621130270
Saint-Augustin,51.226,-58.6502,39.96,82,100,10.98,CA,1621130271
Thunder Bay,48.4001,-89.3168,60.8,39,20,8.05,CA,1621130271
Morehead,37.2711,-87.1764,60.8,67,75,8.01,US,1621130272
Bengkulu,-3.8004,102.2655,82.11,75,55,1.59,ID,1621130057
Piranhas,-16.4269,-51.8222,75.67,49,93,5.1,BR,1621130273
Pangnirtung,66.1451,-65.7125,10.87,95,84,6.31,CA,1621130273
Kieta,-6.2167,155.6333,85.82,70,39,4.97,PG,1621130274
Hofn,64.2539,-15.2082,37.27,64,99,17.54,IS,1621130113
Ovsyanka,55.9575,92.5519,46.4,93,75,3.58,RU,1621130274
Los Llanos de Aridane,28.6585,-17.9182,63.1,77,0,14.97,ES,1621130155
Ubari,26.5921,12.7805,78.15,18,6,11.41,LY,1621130275
Taoudenni,22.6783,-3.9836,94.73,11,15,7.14,ML,1621130208
Ostrovnoy,68.0531,39.5131,32.4,96,100,11.48,RU,1621130255
Sos'va,59.1766,61.8558,65.16,75,80,5.17,RU,1621130276
Lüderitz,-26.6481,15.1594,60.75,89,36,5.17,NA,1621129995
Cidreira,-30.1811,-50.2056,61.25,78,5,7.02,BR,1621130065
Tuktoyaktuk,69.4541,-133.0374,35.6,80,20,11.5,CA,1621130277
Noshiro,40.2039,140.0242,69.8,68,75,1.14,JP,1621130278
Progreso,21.2833,-89.6667,82.4,69,90,12.66,MX,1621130278
Gardenstown,57.671,-2.336,40.66,87,86,1.99,GB,1621130279
Cairns,-16.9167,145.7667,82.2,47,40,18.41,AU,1621130064
Mahébourg,-20.4081,57.7,73.4,78,20,10.36,MU,1621130061
Benguela,-12.5763,13.4055,76.26,76,2,2.84,AO,1621130281
Manta,-0.95,-80.7333,75.2,88,90,2.3,EC,1621130281
Laguna,38.421,-121.4238,70.57,43,1,10.36,US,1621130282
Naica,27.85,-105.4833,81.01,18,91,25.57,MX,1621130282
Dauriya,49.9333,116.8667,57.02,29,0,19.71,RU,1621130283
Ribeira Grande,38.5167,-28.7,63.41,95,100,0.65,PT,1621130093
Poum,-20.2333,164.0167,78.51,75,97,14.34,NC,1621130213
Carangola,-20.7331,-42.0294,60.64,94,40,2.91,BR,1621130284
Margate,51.3813,1.3862,48.29,84,82,1.01,GB,1621130286
Upernavik,72.7868,-56.1549,28.96,89,100,6.89,GL,1621130126
Katsuura,35.1333,140.3,71.29,64,100,4.0,JP,1621130287
Bandarbeyla,9.4942,50.8122,83.73,73,4,20.18,SO,1621130236
San Antonio,29.4241,-98.4936,71.37,83,75,4.61,US,1621130172
Chapais,49.7834,-74.8492,53.6,40,1,4.61,CA,1621130290
Praia da Vitória,38.7333,-27.0667,64.65,94,40,2.71,PT,1621130290
Khandyga,62.6667,135.6,58.95,37,31,3.24,RU,1621130291
Grindavik,63.8424,-22.4338,37.4,65,0,6.91,IS,1621130291
Makakilo City,21.3469,-158.0858,80.47,44,1,8.05,US,1621130292
Valparaíso,-33.0393,-71.6273,55.0,79,71,10.83,CL,1621130057
Port Macquarie,-31.4333,152.9167,64.96,52,0,1.99,AU,1621130147
Offenburg,48.4833,7.9333,49.35,82,100,3.0,DE,1621130294
Usinsk,65.9939,57.5281,39.7,71,59,9.37,RU,1621130005
Harper,4.375,-7.7169,79.23,84,64,4.72,LR,1621130295
Sibolga,1.7427,98.7792,82.8,76,100,0.81,ID,1621130295
Kyren,51.6828,102.1408,61.95,36,42,4.65,RU,1621130296
Sitka,57.0531,-135.33,46.4,71,90,12.66,US,1621130200
Rawson,-43.3002,-65.1023,53.85,51,89,7.72,AR,1621130196
Padang,-0.9492,100.3543,78.8,89,40,2.3,ID,1621130297
Riyadh,24.6877,46.7219,84.67,16,0,6.06,SA,1621130015
Sola,-13.8833,167.55,81.97,74,37,7.09,VU,1621130297
Touros,-5.1989,-35.4608,73.4,94,20,4.61,BR,1621130298
Chengde,40.9725,117.9361,66.52,27,100,6.71,CN,1621130299
Santa Flavia,38.085,13.5351,60.85,32,80,5.01,IT,1621130299
Kota Bharu,6.1333,102.2386,84.09,79,20,4.61,MY,1621130300
Fort Nelson,58.8053,-122.7002,59.0,44,75,4.61,CA,1621130109
Longyearbyen,78.2186,15.6401,23.0,68,40,6.91,SJ,1621130300
Saint Anthony,45.0205,-93.218,63.28,51,1,6.91,US,1621130289
Gbarnga,6.9956,-9.4722,73.31,99,100,1.54,LR,1621130301
Leningradskiy,69.3833,178.4167,31.19,94,97,6.6,RU,1621130246
Shuyskoye,59.3736,41.0305,53.85,94,1,7.7,RU,1621130302
Palimbang,6.2106,124.1894,88.34,65,58,4.61,PH,1621130127
Concarneau,47.875,-3.9225,51.75,93,75,5.75,FR,1621130302
Erzin,36.9559,36.2,68.0,90,54,2.3,TR,1621130303
Llanes,43.4198,-4.7549,60.13,88,100,5.95,ES,1621130303
Kothāpet,19.3333,79.4833,86.83,63,100,13.04,IN,1621130303
Vila,42.0304,-8.1588,57.0,95,100,11.99,PT,1621130304
New Norfolk,-42.7826,147.0587,52.34,78,98,5.99,AU,1621130304
Bubaque,11.2833,-15.8333,77.27,84,83,11.83,GW,1621130079
Parnamirim,-5.9156,-35.2628,74.48,88,20,6.91,BR,1621130290
Santa Maria,-29.6842,-53.8069,51.8,100,0,2.3,BR,1621130306
Tezu,27.9167,96.1667,81.84,44,26,3.11,IN,1621130307
Abhā,18.2164,42.5053,67.05,18,0,4.7,SA,1621130307
Syzran',53.1585,48.4681,63.25,62,12,5.48,RU,1621130307
Province of Mantua,45.1667,10.7833,56.73,82,81,1.99,IT,1621130308
Etchoropo,26.7667,-109.6667,87.01,35,1,8.03,MX,1621130308
Staroaleyskoye,51.0061,82.0,62.35,57,7,3.65,RU,1621130309
Rosetown,51.5501,-108.0014,73.4,23,99,14.97,CA,1621130309
Tiksi,71.6872,128.8694,31.71,92,100,6.78,RU,1621130310
Yerbogachën,61.2767,108.0108,30.7,59,100,17.63,RU,1621130310
Pires do Rio,-17.2997,-48.2794,68.76,57,100,3.67,BR,1621130311
San Patricio,28.017,-97.5169,75.07,94,90,12.66,US,1621130311
Lata,40.1629,-8.3327,59.0,94,100,1.99,PT,1621130311
Jesús Carranza,17.4333,-95.0333,79.88,72,6,5.57,MX,1621130312
Tsuruoka,38.7217,139.8217,73.4,64,75,12.66,JP,1621130312
Marabá,-5.3686,-49.1178,72.52,98,100,2.77,BR,1621130313
Ratnagiri,16.9833,73.3,83.48,69,100,17.38,IN,1621130313
Westport,41.1415,-73.3579,62.29,48,1,5.75,US,1621130314
Tāybād,34.74,60.7756,66.16,24,0,14.65,IR,1621130314
Morón,-34.6534,-58.6198,56.07,61,72,2.62,AR,1621130248
Road Town,18.4167,-64.6167,80.24,83,20,5.75,VG,1621130159
Mitsamiouli,-11.3847,43.2844,80.33,74,65,10.58,KM,1621130182
Yeniseysk,58.4497,92.1703,42.03,48,100,3.78,RU,1621130315
Hervey Bay,-25.2986,152.8535,66.2,37,3,11.5,AU,1621130295
Dunedin,-45.8742,170.5036,55.99,65,0,8.01,NZ,1621130316
Kimbe,-5.5502,150.1429,91.67,52,84,5.46,PG,1621130316
Oskemen,49.9565,82.6119,55.4,71,0,2.24,KZ,1621130317
Payo,-3.7508,103.6372,84.0,69,62,1.72,ID,1621130317
Tautira,-17.7333,-149.15,86.0,62,40,6.91,PF,1621130318
Machalí,-34.1833,-70.6667,59.76,50,100,2.77,CL,1621130318
Orvault,47.271,-1.6219,52.43,93,75,5.75,FR,1621130319
Petropavlovsk-Kamchatskiy,53.0452,158.6483,57.2,26,100,13.42,RU,1621130286
Nanortalik,60.1432,-45.2371,36.14,83,11,2.01,GL,1621130319
Gunjur,13.2019,-16.7339,73.4,88,18,5.75,GM,1621130320
Coyhaique,-45.5752,-72.0662,44.6,81,40,6.91,CL,1621130320
Ghātanji,20.1333,78.3167,86.9,59,90,15.88,IN,1621130321
Shimoda,34.6667,138.95,70.61,78,75,6.91,JP,1621130321
Dandong,40.1292,124.3947,64.53,45,100,14.54,CN,1621130052
Mahon,39.8885,4.2658,62.6,88,0,9.22,ES,1621130322
Serenje,-13.2325,30.2352,53.15,76,5,3.24,ZM,1621130322
Cagayan de Oro,8.4822,124.6472,93.0,65,54,5.03,PH,1621130322
Lebu,-37.6167,-73.65,51.35,87,0,8.32,CL,1621130323
Isabela,6.7085,121.9711,84.2,84,75,3.44,PH,1621130256
Gisborne,-38.6533,178.0042,64.0,56,13,3.0,NZ,1621130323
Najrān,17.4924,44.1277,84.2,26,40,4.61,SA,1621130324
Salalah,17.0151,54.0924,82.4,83,40,3.44,OM,1621130324
Mayya,61.7333,130.2811,62.6,34,0,6.71,RU,1621130325
Puerto Escondido,15.85,-97.0667,83.82,75,38,4.09,MX,1621130325
Aykhal,66.0,111.5,19.4,91,100,21.5,RU,1621130325
Leshukonskoye,64.8989,45.7622,51.62,85,100,6.06,RU,1621130327
Bam,29.106,58.357,74.23,23,0,2.46,IR,1621130327
Zhezkazgan,47.8043,67.7144,64.8,39,0,6.6,KZ,1621130328
Torbay,47.6666,-52.7314,38.23,100,75,5.73,CA,1621130328
