City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Chokurdakh,70.6333,147.9167,32.74,98,100,6.85,RU,1621130328
Ust-Kuyga,70.0167,135.6,43.03,58,32,5.35,RU,1621130329
Havøysund,70.9963,24.6622,33.8,93,90,16.11,NO,1621130329
Coquimbo,-29.9533,-71.3436,55.4,88,0,2.3,CL,1621130055
Fallon,39.4735,-118.7774,55.69,67,75,11.5,US,1621130330
Uray,60.1247,64.7758,61.21,79,100,3.8,RU,1621130330
Mae Sot,16.7167,98.5667,84.2,70,20,3.44,TH,1621130331
Coahuayana Viejo,18.7333,-103.6833,80.71,75,1,2.93,MX,1621130331
Antofagasta,-23.65,-70.4,60.8,77,90,11.5,CL,1621130062
Souillac,-20.5167,57.5167,73.4,78,20,10.36,MU,1621130332
Biltine,14.5333,20.9167,80.17,5,6,9.01,TD,1621130332
Kirakira,-10.4544,161.9205,86.29,68,8,6.58,SB,1621130333
Bachatskiy,54.2927,86.1285,63.48,55,58,12.53,RU,1621130333
Lázaro Cárdenas,17.9583,-102.2,82.2,74,0,7.38,MX,1621130333
Ossora,59.2353,163.0719,36.34,86,22,2.77,RU,1621130334
Alofi,-19.0595,-169.9187,82.4,74,4,12.66,NU,1621130334
Aitape,-3.1374,142.3475,86.9,68,100,8.05,PG,1621130335
Akdepe,42.0551,59.3788,61.72,39,0,9.22,TM,1621130335
Te Anau,-45.4167,167.7167,51.33,57,7,5.91,NZ,1621130336
Tsimmerbude,54.675,20.1347,44.29,100,90,4.47,RU,1621130336
Tomatlán,19.9333,-105.25,81.07,58,0,3.89,MX,1621130336
Port Keats,-14.25,129.55,83.82,22,2,14.12,AU,1621130337
Colares,38.7992,-9.4469,64.18,88,81,7.52,PT,1621130337
Deputatsky,69.3,139.9,28.06,94,82,3.8,RU,1621130338
Andros,37.8333,24.9333,62.6,94,0,3.44,GR,1621130290
Kasongo,-4.45,26.6667,69.73,88,49,2.13,CD,1621130339
Kiryat Gat,31.61,34.7642,61.0,82,2,1.23,IL,1621130339
Culaman,5.9603,125.6586,87.8,62,20,9.22,PH,1621130339
Ketchikan,55.3422,-131.6461,51.8,82,90,8.05,US,1621130340
Lavrentiya,65.5833,-171.0,33.66,91,18,4.25,RU,1621130340
Tshikapa,-6.4167,20.8,75.52,66,99,2.42,CD,1621130341
Maniitsoq,65.4167,-52.9,35.2,87,97,6.62,GL,1621130341
Cayenne,4.9333,-52.3333,76.24,100,90,2.3,GF,1621130230
Khandagayty,50.7333,92.05,57.94,39,8,3.38,RU,1621130342
Kokopo,-4.352,152.2633,87.51,60,89,6.69,PG,1621130342
Izumo,35.3667,132.7667,77.0,78,75,14.97,JP,1621130342
Yulara,-25.2406,130.9889,60.8,48,2,19.57,AU,1621130217
Springbok,-29.6643,17.8865,52.2,91,100,9.6,ZA,1621130343
Qaqortoq,60.7167,-46.0333,41.0,38,6,4.61,GL,1621130154
Igunga,-4.2833,33.8833,64.99,76,5,3.42,TZ,1621130344
Ilulissat,69.2167,-51.1,35.6,64,75,3.44,GL,1621130219
Haicheng,40.8516,122.7475,67.37,26,100,19.91,CN,1621130345
Beringovskiy,63.05,179.3167,32.4,95,100,8.41,RU,1621130345
Quatre Cocos,-20.2078,57.7625,74.75,78,20,10.36,MU,1621130330
Edgewater,28.9889,-80.9023,69.19,56,20,14.97,US,1621130346
Stykkisholmur,65.0757,-22.7297,35.83,70,7,14.74,IS,1621130346
Uribia,11.7139,-72.266,81.66,67,71,15.14,CO,1621130346
Fukuechō,32.6881,128.8419,73.4,100,75,14.97,JP,1621130347
Paramonga,-10.6667,-77.8333,64.78,85,5,7.27,PE,1621130347
Sorong,-0.8833,131.25,84.96,71,45,5.1,ID,1621130314
Halifax,44.6453,-63.5724,46.15,61,20,5.75,CA,1621130315
Tucuruí,-3.7661,-49.6725,73.24,98,100,4.16,BR,1621130348
Egvekinot,66.3167,-179.1667,31.26,95,18,4.36,RU,1621130348
Pemangkat,1.1667,108.9667,83.91,73,51,3.6,ID,1621130083
Gbadolite,4.2833,21.0167,69.22,96,100,0.94,CD,1621130349
Vidim,56.4088,103.1106,43.27,53,90,8.46,RU,1621130349
Cham,47.1821,8.4636,45.0,81,90,5.75,CH,1621130351
Shingū,33.7333,135.9833,71.6,88,75,10.36,JP,1621130351
Airai,-8.9266,125.4092,70.61,53,81,4.38,TL,1621130131
Belmonte,-15.8631,-38.8828,69.8,83,20,4.61,BR,1621130352
Davila,18.4726,120.5763,89.6,70,20,8.05,PH,1621130352
Lianran,24.9227,102.485,66.2,55,0,13.42,CN,1621130353
Rundu,-17.9333,19.7667,56.93,48,4,3.87,NA,1621130353
Svobodnyy,51.4,128.1333,60.1,42,0,13.53,RU,1621130353
Mattawa,46.7379,-119.9028,82.0,17,6,8.99,US,1621130354
Blind River,46.1834,-82.9582,53.6,50,1,3.44,CA,1621130354
Port Blair,11.6667,92.75,86.0,89,40,1.14,IN,1621130355
Mehamn,71.0357,27.8492,34.56,84,100,20.22,NO,1621130355
Balkhash,46.844,74.9804,59.0,33,0,15.66,KZ,1621130356
Heilbron,-27.2812,27.9709,49.01,45,0,6.89,ZA,1621130356
Verkh-Usugli,52.7,115.1667,56.12,40,93,13.42,RU,1621130245
Severo-Kuril'sk,50.6789,156.125,42.33,67,100,14.65,RU,1621130245
Gambiran,-6.7988,111.4951,83.46,66,0,6.51,ID,1621130357
Kapit,2.0167,112.9333,77.97,95,100,1.88,MY,1621130357
São João da Barra,-21.6403,-41.0511,67.86,79,2,1.57,BR,1621130358
Steinbach am Taunus,50.1667,8.5667,47.08,93,40,8.05,DE,1621130358
Price,39.5994,-110.8107,73.4,16,1,23.02,US,1621130358
Port Shepstone,-30.7414,30.455,68.59,38,6,6.44,ZA,1621130359
Todos Santos,23.45,-110.2167,83.53,48,40,8.05,MX,1621130359
Itacoatiara,-3.1431,-58.4442,75.61,94,97,2.64,BR,1621130360
Yuanping,38.7153,112.7575,55.65,49,100,9.19,CN,1621130360
Sungai Penuh,-2.0833,101.3833,75.04,77,62,0.89,ID,1621130360
Boguchany,58.3814,97.4531,40.78,47,62,6.22,RU,1621130361
Iisalmi,63.5592,27.1907,51.8,93,0,3.44,FI,1621130361
Tucumcari,35.1717,-103.725,69.8,56,1,20.71,US,1621130362
Lompoc,34.6391,-120.4579,52.92,67,66,12.66,US,1621130362
Kiama,-34.6833,150.8667,61.68,43,0,8.99,AU,1621130362
Murgab,37.4966,61.9714,64.4,45,0,4.61,TM,1621130363
Asău,46.4333,26.4,48.99,64,99,2.06,RO,1621130363
Middelburg,-25.7751,29.4648,51.15,39,0,4.03,ZA,1621130364
Byron Bay,-28.65,153.6167,62.78,48,62,13.8,AU,1621130110
Lagoa,39.05,-27.9833,60.82,88,100,5.23,PT,1621130364
Kavieng,-2.5744,150.7967,85.55,74,95,16.46,PG,1621130202
Kédougou,12.5579,-12.1743,90.0,43,100,8.16,SN,1621130365
Cap Malheureux,-19.9842,57.6142,75.99,68,1,5.99,MU,1621130365
Okhotsk,59.3833,143.3,38.66,83,100,19.69,RU,1621130079
Itarema,-2.9248,-39.9167,75.97,85,100,7.78,BR,1621130366
Lakatoro,-16.0999,167.4164,84.09,72,19,5.37,VU,1621130366
Gorshechnoye,51.5244,38.0365,55.09,78,43,2.98,RU,1621130366
Sakakah,29.9697,40.2064,73.4,13,0,3.44,SA,1621130072
Province of Trapani,37.8333,12.6667,59.63,47,88,2.75,IT,1621130367
Nantucket,41.2835,-70.0995,52.36,93,1,4.61,US,1621130368
Hualmay,-11.0964,-77.6139,64.4,85,3,7.34,PE,1621130222
Athabasca,54.7169,-113.2854,67.15,26,100,13.8,CA,1621130368
Sawākin,19.1059,37.3321,80.71,41,0,2.24,SD,1621130369
Sørland,67.667,12.6934,43.34,89,98,15.35,NO,1621130369
Hoa Binh,20.8133,105.3383,84.2,89,75,5.75,VN,1621130369
Launceston,-41.45,147.1667,56.12,58,40,17.27,AU,1621130370
Bathsheba,13.2167,-59.5167,80.6,61,20,24.16,BB,1621130370
Brae,60.3964,-1.353,46.4,93,90,4.61,GB,1621130370
Lamu,-2.2717,40.902,78.84,83,15,13.22,KE,1621130371
Rock Sound,24.9,-76.2,78.06,71,99,20.24,BS,1621130371
Fairbanks,64.8378,-147.7164,60.24,39,20,8.05,US,1621130210
Tahe,52.3333,124.7333,62.82,25,0,8.43,CN,1621130204
Guerrero Negro,27.9769,-114.0611,60.62,74,0,18.41,MX,1621130372
Machado,-21.6747,-45.9197,59.02,86,45,2.98,BR,1621130372
San Cristobal,7.7669,-72.225,67.69,87,98,2.77,VE,1621130373
Naryan-Mar,67.6713,53.087,33.94,63,94,9.46,RU,1621130373
St. George's,12.0564,-61.7485,80.6,78,40,17.27,GD,1621130374
Rayachoti,14.05,78.75,83.14,57,80,8.93,IN,1621130374
Marzuq,14.4,46.4667,79.34,32,7,3.98,YE,1621130375
Mount Gambier,-37.8333,140.7667,53.6,94,90,14.97,AU,1621130152
Madarounfa,13.3087,7.156,88.02,35,87,9.1,NE,1621130375
Samarai,-10.6167,150.6667,83.1,74,75,8.08,PG,1621130213
Kaniama,-7.5667,24.1833,67.06,77,12,3.8,CD,1621130376
Turbat,26.0023,63.044,89.19,33,5,2.73,PK,1621130376
College,64.8569,-147.8028,60.21,36,75,12.66,US,1621130157
Semnan,35.5729,53.3971,66.67,37,53,4.97,IR,1621130377
Sabha,27.0377,14.4283,74.84,30,0,14.14,LY,1621130377
Kalmunai,7.4167,81.8167,84.0,73,92,4.54,LK,1621130378
Türkan,40.3639,50.215,51.8,100,0,4.61,AZ,1621130378
Pedernales,18.0384,-71.744,78.82,79,4,7.78,DO,1621130378
Chumikan,54.7183,135.315,36.34,98,100,17.05,RU,1621130264
Henties Bay,-22.116,14.2845,62.74,85,0,7.85,NA,1621130379
Mezen',65.8522,44.24,44.15,85,93,6.85,RU,1621130379
Sonāri,27.0667,95.0333,69.8,100,90,4.61,IN,1621130380
Barguzin,53.6167,109.6167,42.85,90,100,10.58,RU,1621130380
Csetény,47.3181,17.9921,56.21,77,0,9.22,HU,1621130380
Kupang,-10.1667,123.5833,84.2,58,20,16.11,ID,1621130381
Nador,35.174,-2.9287,62.13,55,0,1.63,MA,1621130381
Kīhei,20.785,-156.4656,76.26,54,40,18.41,US,1621130382
Mulegé,26.8833,-111.9833,78.94,38,16,1.77,MX,1621130382
Honningsvåg,70.9821,25.9704,35.67,80,100,22.5,NO,1621130383
Calderitas,18.55,-88.25,82.99,82,8,10.31,MX,1621130383
Lusambo,-4.9667,23.45,72.84,76,61,0.74,CD,1621130350
Cabedelo,-6.9811,-34.8339,73.4,94,0,5.75,BR,1621130384
Nouakchott,18.0858,-15.9785,68.0,88,0,16.11,MR,1621130384
Sept-Îles,50.2001,-66.3821,39.6,87,75,2.3,CA,1621130110
Phonhong,18.5007,102.4166,86.0,79,40,4.61,LA,1621130384
Caldwell,43.6629,-116.6874,76.35,21,1,6.91,US,1621130385
Umm Kaddadah,13.6017,26.6876,73.92,8,91,4.32,SD,1621130385
Bonavista,48.6499,-53.1147,38.35,81,95,1.14,CA,1621130245
Seoul,37.5683,126.9778,66.79,94,90,8.05,KR,1621130135
Nevel',56.0209,29.9284,48.85,98,29,4.54,RU,1621130386
Alghero,40.5589,8.3181,60.8,77,0,5.75,IT,1621130386
Novopavlovsk,43.9622,43.6342,63.75,42,20,8.95,RU,1621130387
Astoria,46.1879,-123.8313,53.58,76,90,5.75,US,1621130387
Port Hardy,50.6996,-127.4199,52.61,76,75,12.66,CA,1621130388
Katete,-0.7818,29.7544,59.41,97,56,3.06,UG,1621130388
Provincia di Campobasso,41.6333,14.5833,50.94,88,100,7.31,IT,1621130388
Presidente Olegário,-18.4178,-46.4181,63.0,100,14,3.29,BR,1621130389
Labuhan,-6.8844,112.2051,83.39,72,2,5.01,ID,1621130389
Luau,-10.7073,22.2247,59.18,68,13,4.07,AO,1621130390
Ouésso,1.6136,16.0517,70.47,98,100,0.87,CG,1621130391
Laje,-10.1833,-40.9667,67.8,82,52,6.73,BR,1621130392
Tay Ninh,11.3,106.1,88.12,62,12,6.82,VN,1621130392
Yārāda,17.65,83.2667,86.0,89,75,6.91,IN,1621130393
Nome,64.5011,-165.4064,52.45,38,1,12.66,US,1621130393
Nolinsk,57.5596,49.9363,62.8,74,11,5.44,RU,1621130394
Porgera,-5.4667,143.2,53.15,93,100,2.84,PG,1621130394
El Bordo,2.117,-76.9821,68.05,93,96,1.41,CO,1621130394
Uvira,-3.4067,29.1458,70.68,87,33,3.76,CD,1621130395
Ramsar,36.9226,50.6426,59.0,88,40,2.3,IR,1621130395
Barra do Garças,-15.89,-52.2567,69.8,83,0,2.3,BR,1621130395
Buala,-8.145,159.5921,86.07,70,32,9.13,SB,1621130396
Plettenberg Bay,-34.0527,23.3716,57.54,89,100,11.1,ZA,1621130396
Lorengau,-2.0226,147.2712,86.79,69,100,12.44,PG,1621130199
Winnemucca,40.973,-117.7357,64.4,36,90,3.44,US,1621130320
Anaconda,46.1285,-112.9423,59.11,24,1,4.79,US,1621130397
Linda,39.1277,-121.5508,74.19,38,1,1.74,US,1621130397
Totness,5.8833,-56.3167,77.07,86,74,9.95,SR,1621130398
Neiafu,-18.65,-173.9833,82.4,78,40,9.22,TO,1621130398
Juba,4.8517,31.5825,71.4,83,11,4.43,SS,1621130399
Aloleng,16.1307,119.7824,89.24,58,5,2.98,PH,1621130399
Saint Lawrence,36.0553,14.204,60.8,63,0,8.05,MT,1621130399
Grand Gaube,-20.0064,57.6608,75.99,68,0,5.99,MU,1621130400
Nangomba,-10.9,38.5,64.78,94,6,2.3,TZ,1621130400
Gouyave,12.1646,-61.7296,80.6,78,40,17.27,GD,1621130218
Te Horo,-40.8084,175.1233,62.13,74,100,5.01,NZ,1621130401
Iskateley,67.6803,53.1512,33.87,62,94,9.48,RU,1621130404
Magadan,59.5667,150.8,38.16,90,100,10.67,RU,1621130186
Yangi Marg`ilon,40.4272,71.7189,64.4,45,0,4.61,UZ,1621130163
Likasi,-10.9814,26.7333,55.31,76,2,3.09,CD,1621130118
Kenitra,34.261,-6.5802,59.0,100,3,4.61,MA,1621130407
Inhambane,-23.865,35.3833,68.09,88,0,10.4,MZ,1621130409
Monrovia,6.3005,-10.7969,79.0,85,100,5.3,LR,1621130409
Baie-Comeau,49.2168,-68.1489,44.6,81,1,6.91,CA,1621130411
Cascais,38.6979,-9.4215,64.18,88,81,7.25,PT,1621130369
Oranjemund,-28.55,16.4333,59.7,97,44,7.63,NA,1621130214
Boden,65.8252,21.6886,44.6,93,90,5.75,SE,1621130412
Vao,-22.6667,167.4833,75.79,80,51,16.55,NC,1621130413
Soyo,-6.1349,12.3689,79.2,85,54,8.39,AO,1621130414
Ca Mau,9.1769,105.15,90.99,54,52,6.46,VN,1621130147
San Quintín,30.4833,-115.95,60.96,73,8,14.27,MX,1621130414
Kawalu,-7.3817,108.2082,79.56,79,42,3.91,ID,1621130415
Port Augusta,-32.5,137.7667,57.54,67,90,6.91,AU,1621130415
Sioux Lookout,50.1001,-91.917,60.8,51,75,3.44,CA,1621130416
Babstovo,48.1167,132.4833,65.97,34,52,14.45,RU,1621130416
Isangel,-19.55,169.2667,81.54,72,11,6.53,VU,1621130416
Tornio,65.8481,24.1466,46.4,93,40,4.61,FI,1621130417
Shyryayeve,47.3805,30.1964,57.25,69,95,3.85,UA,1621130418
Banda Aceh,5.5577,95.3222,83.12,77,100,2.75,ID,1621130418
Sarkand,45.41,79.9186,58.06,50,41,1.36,KZ,1621130149
Dingle,10.9995,122.6711,87.12,67,99,13.31,PH,1621130419
Assiut,27.181,31.1837,69.8,49,0,3.42,EG,1621130420
Clemencia,10.5665,-75.325,80.6,89,40,11.5,CO,1621130420
Santa Fe,-31.6333,-60.7,57.65,75,46,4.81,AR,1621130353
Broome,42.2506,-75.833,55.47,36,90,4.61,US,1621130421
Russell,32.3502,-85.1999,62.19,77,1,4.16,US,1621130412
Aden,12.7794,45.0367,87.12,70,75,7.38,YE,1621130379
La Paz,-16.5,-68.15,45.77,64,92,2.91,BO,1621130405
Kenai,60.5544,-151.2583,47.14,71,20,13.8,US,1621130422
San Ramon,37.7799,-121.978,60.78,55,1,13.8,US,1621130423
Salmās,38.1973,44.7653,53.6,50,0,9.22,IR,1621130424
Camacha,33.0833,-16.3333,66.2,77,75,13.8,PT,1621130424
Tuensang,26.2833,94.8333,72.27,83,90,1.95,IN,1621130425
Walvis Bay,-22.9575,14.5053,57.2,77,0,3.44,NA,1621130274
Muriwai Beach,-36.8167,174.45,68.09,58,7,1.01,NZ,1621130425
Bowen,-20.0167,148.2333,73.4,38,0,14.97,AU,1621130426
San Pietro in Casale,44.6996,11.4022,55.62,82,0,1.14,IT,1621130426
Guane,22.2025,-84.0875,74.5,86,99,3.47,CU,1621130427
Alora,36.8236,-4.7058,73.2,38,0,14.97,ES,1621130428
Fort Saint James,54.4333,-124.25,58.42,58,100,9.66,CA,1621130428
Elizabeth City,36.2946,-76.2511,53.89,58,1,8.05,US,1621130429
Nizwá,22.9333,57.5333,85.14,23,5,5.19,OM,1621130429
Esil,51.9556,66.4042,68.16,46,1,7.4,KZ,1621130430
Businga,3.3333,20.8833,70.0,96,100,1.81,CD,1621130209
Zambezi,-13.5432,23.1047,56.8,67,6,3.06,ZM,1621130431
São Desidério,-12.3633,-44.9733,73.98,51,98,2.08,BR,1621130431
Rosarito,32.3333,-117.0333,61.12,59,90,5.75,MX,1621130432
Ville-Marie,47.3335,-79.433,59.0,55,90,11.5,CA,1621130432
Novoseleznëvo,55.6821,69.2056,69.26,52,58,8.61,RU,1621130433
Sompeta,18.9333,84.6,86.65,74,48,8.23,IN,1621130433
Celestún,20.8667,-90.4,80.67,74,100,16.64,MX,1621130434
Biak,-0.9131,122.8766,81.55,79,90,7.05,ID,1621130434
Glamoč,44.0458,16.8486,37.99,95,100,13.0,BA,1621130435
Sistranda,63.7256,8.834,50.0,66,0,19.57,NO,1621130436
Ignatovka,53.9479,47.6536,61.47,64,70,8.19,RU,1621130436
Broken Hill,-31.95,141.4333,53.6,50,90,11.5,AU,1621130437
Nishihara,26.1842,127.7558,84.07,74,75,17.27,JP,1621130437
Kwinana,-32.25,115.7667,67.82,45,75,14.97,AU,1621130438
Hay River,60.8156,-115.7999,33.8,100,90,4.61,CA,1621130438
Salgueiro,-8.0742,-39.1192,72.09,81,97,14.05,BR,1621130439
Jiwani,25.05,61.7417,83.5,75,0,3.4,PK,1621130439
Garoowe,8.4054,48.4845,79.84,62,2,16.67,SO,1621130439
NEDJO,9.5046,35.5019,57.47,98,78,0.34,ET,1621130440
Innisfail,-17.5333,146.0333,76.6,53,0,12.44,AU,1621130369
Auki,-8.7676,160.7034,86.92,63,32,4.07,SB,1621130441
Palomares,17.15,-95.0667,78.6,75,4,2.73,MX,1621130441
Birin,26.8865,88.0718,67.98,62,82,1.77,NP,1621130441
Kanganpur,30.7663,74.1231,87.55,33,30,6.35,PK,1621130442
Acaraú,-2.8856,-40.12,76.8,84,100,8.32,BR,1621130442
Åmot,59.5714,7.9877,43.79,94,100,2.75,NO,1621130443
Gizo Government Station,-8.103,156.8419,85.69,67,98,3.49,SB,1621130443
Mazatlán,23.2167,-106.4167,83.28,70,75,9.22,MX,1621130430
Keta,5.9179,0.9879,77.0,83,20,3.44,GH,1621130444
Vaasa,63.096,21.6158,44.89,93,90,4.61,FI,1621130444
Atar,20.5169,-13.0499,78.87,23,54,6.02,MR,1621130445
Altay,47.8667,88.1167,62.22,35,10,2.59,CN,1621130445
Edd,13.9297,41.6925,86.9,53,19,5.19,ER,1621130445
Watertown,42.3709,-71.1828,61.38,41,1,4.61,US,1621130446
Merauke,-8.4667,140.3333,83.16,76,98,13.49,ID,1621130446
Bakchar,57.0186,82.0711,55.06,91,100,5.32,RU,1621130447
Karaton,-6.3424,106.1045,86.0,66,20,5.75,ID,1621130447
Leeton,-34.5667,146.4,51.8,50,90,10.36,AU,1621130258
Iwanai,42.9744,140.5089,56.08,96,100,6.2,JP,1621130448
Takhtamygda,54.1,123.5667,61.21,26,0,5.59,RU,1621130448
Arrondissement du Havre,49.5833,0.3333,49.14,93,75,11.5,FR,1621130449
Mbeya,-8.9,33.45,53.38,91,73,4.32,TZ,1621130449
Bilibino,68.0546,166.4372,34.36,80,86,1.57,RU,1621130450
La Ligua,-32.4524,-71.2311,57.51,81,66,1.77,CL,1621130450
Romny,50.751,33.4747,51.3,91,3,5.3,UA,1621130450
Port Victoria,0.0939,33.9756,67.21,81,45,6.33,KE,1621130451
Washougal,45.5826,-122.3534,75.74,34,20,11.5,US,1621130451
Thinadhoo,0.5333,72.9333,84.81,73,100,18.41,MV,1621130305
Leopold,-38.1833,144.4667,56.68,67,75,21.85,AU,1621130452
Half Moon Bay,37.4636,-122.4286,56.5,93,90,5.75,US,1621130452
Littlehampton,50.8069,-0.5378,50.83,88,31,8.01,GB,1621130453
Husavik,66.0449,-17.3389,35.6,60,90,9.22,IS,1621130453
Balabac,7.9868,117.0645,86.56,69,67,9.71,PH,1621130453
Timmins,48.4669,-81.3331,60.8,44,75,2.3,CA,1621130454
Aljezur,37.3191,-8.8033,59.81,94,12,7.29,PT,1621130454
